Store,Dept,Size,Model,MinErr,SimpleMean,Naive,MovingAvg5,MovingAvg27,MovingAvg53,HoltsLinear,HoltWinter,Arima,LinearRegression
1,1,143.0,LinearRegression,3719.414540046475,6179.581817658266,39029.00549363618,17355.776316874984,10546.409195617054,6593.124000574989,30011.136665342656,42095.51844855877,7614.338751555868,3719.414540046475
1,2,143.0,SimpleMean,2307.4346936819106,2307.4346936819106,6061.611759355356,2993.3433003985174,2777.197843506902,2394.649514912735,4725.903006175124,3858.776928602844,4880.082105801332,2715.8956149770006
1,3,143.0,LinearRegression,10713.661361217622,11481.2561854548,12700.086332685114,12815.480211218082,12126.616663537285,11255.874236954804,15100.639311561656,15523.504043272824,12273.567950294902,10713.661361217622
1,4,143.0,MovingAvg27,2596.243997044599,2845.136447208629,4826.238224905747,2758.0154464115108,2596.243997044599,2653.0726723111593,3724.546800788784,3176.835880680191,3630.449937005658,2890.4978815756845
1,5,143.0,LinearRegression,3560.5914492996726,6400.445897067846,9136.300408382884,7056.700092351514,12521.584933952628,8769.089630197346,6131.136840532198,15397.652096602667,10524.820430866908,3560.5914492996726
1,6,143.0,MovingAvg5,1250.1399669660616,1896.0183765686672,1623.1290921518398,1250.1399669660616,2070.744349708838,1939.8992951501546,1775.767474599989,2450.641327458791,1900.6548542830144,1844.651562893803
1,7,143.0,MovingAvg5,4443.965769249061,6206.771511106535,7512.501677251978,4443.965769249061,6354.7547094698775,5945.264580648981,12727.76393020647,16972.93728530526,8531.427042622314,5793.457868077767
1,8,143.0,MovingAvg5,1834.271634861541,3660.727166314043,4120.812116535549,1834.271634861541,2354.0215331851714,3262.5919965002226,3847.939061315833,1947.076268536236,3161.2748762664487,2391.2514923879526
1,9,143.0,MovingAvg27,6083.92726902706,7343.186561011554,12184.654231945702,11787.384582967936,6083.92726902706,6350.440958619811,26069.706843463457,19885.358364454452,7500.827485189772,999999999.0
1,10,143.0,LinearRegression,3047.1706540051464,3105.0565052379457,6179.266307458048,6697.1929244896055,3853.896797351651,3178.4788507601706,16147.41437546882,11279.992334711766,5755.905963144889,3047.1706540051464
1,11,143.0,MovingAvg53,6131.34186056522,6392.513046814716,7263.690480673316,6347.414610346952,6398.470693474993,6131.34186056522,7021.973527256211,9467.80335228726,6421.363704547508,999999999.0
1,12,143.0,LinearRegression,1087.9153192130545,1296.4690370217459,1201.2529557895386,1285.6202492583996,1626.5275561007527,1432.0257194312937,4071.456682201984,1748.19117268812,1527.4350787015012,1087.9153192130545
1,13,143.0,LinearRegression,1779.6041127079332,2860.5902553051874,4500.821845113212,2041.2672414667054,2328.7650476775907,2665.735060045418,4533.765733214163,2566.6503557523124,4235.820773089904,1779.6041127079332
1,14,143.0,MovingAvg5,2024.738824707855,2731.2089671195486,2715.7911332218105,2024.738824707855,5053.887394161091,3736.6427882039043,4984.277957301728,4410.647344901098,3627.7114811123797,2208.8358185895236
1,16,143.0,LinearRegression,13115.637407149323,13807.60511955081,34106.02291785259,27140.29167932457,16969.416560361224,14850.959408927883,81674.53370636964,57007.71181919831,13902.402105773044,13115.637407149323
1,17,143.0,MovingAvg5,956.5323833839733,1707.4437420954532,1017.9088933318825,956.5323833839733,1851.82366899084,1282.9020845462078,1131.414858189165,1283.7443826550727,1794.7366959673816,969.4616589102078
1,18,113.0,MovingAvg5,5134.911348814116,7402.636611147242,5289.528474359177,5134.911348814116,10876.958332976697,6992.650892468606,15017.439505824319,8276.148919031732,999999999.0,7135.378126446968
1,19,143.0,MovingAvg27,290.9286960265997,312.215125167741,377.00324104524714,294.50524485351167,290.9286960265997,304.87065923221104,304.2618484278905,302.6789401632311,322.81094469005393,317.0873074325729
1,20,143.0,MovingAvg53,684.5379957104059,709.7032594045118,774.6079632816269,832.6861288778409,764.4666960085879,684.5379957104059,1483.4897146285418,1290.6859916009832,873.9040883142467,999999999.0
1,21,143.0,SimpleMean,965.9084442113693,965.9084442113693,2952.032953593752,1601.8143579430248,1436.1645444014134,1216.8546716665376,2060.4044837960705,2141.2016362571217,1563.4940918202851,999999999.0
1,22,143.0,LinearRegression,1024.5764480793273,1746.1937812017372,1071.1401677989738,1358.5848425769805,2654.7008622246394,1865.7169779711967,1623.2100013540369,1463.3079037474477,2120.186299489232,1024.5764480793273
1,23,143.0,HoltsLinear,3224.553909321557,3353.0086266559356,5077.28343234437,3490.5367312123276,3732.2398258512067,3360.44283168172,3224.553909321557,8482.576927745631,3391.277486186156,999999999.0
1,24,143.0,MovingAvg53,3031.2106878213326,3124.495590450164,3251.319886188398,3137.1789013262933,3173.790690777067,3031.2106878213326,3253.9861925802625,3108.4500074576317,3307.2702140075594,999999999.0
1,25,143.0,MovingAvg53,1468.8858102492295,1469.4176478282998,5005.015396846345,4107.071727600431,1808.8442330904886,1468.8858102492295,9516.91230213832,5263.378065894174,1593.7487039936238,999999999.0
1,26,143.0,LinearRegression,1394.307067649362,1789.1167301957676,2602.480607640492,2273.0112020241304,2001.3467588603094,1594.5084035529344,3089.351018433475,2406.417803422867,1638.1410676173953,1394.307067649362
1,27,143.0,LinearRegression,312.03244968080713,406.2377311865494,403.20905697613756,380.060698554061,853.7293305692051,516.98096129288,849.9259009794258,564.7571822265238,352.2087330694641,312.03244968080713
1,28,143.0,LinearRegression,105.95802353165436,249.89724284034773,265.5599638304976,182.530839615834,264.4321736963201,194.37346631175996,159.03669193723164,226.72795042539414,251.9594544039123,105.95802353165436
